Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"22u","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL31A226MOCLNNC/1276-2728-1-ND/3890814"
C4 C6 C7 C3 ,4,"100n","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/tdk-corporation/CGA1A2X7R1A103M030BA/445-12060-1-ND/3953726"
C5 C2 ,2,"1u","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL31B105KAHNNNE/1276-1097-1-ND/3889183"
C8 C9 ,2,"10u","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL31B105KAHNNNE/1276-1097-1-ND/3889183"
D1 ,1,"5V","Diode_SMD:D_SOD-123","https://www.digikey.de/product-detail/de/on-semiconductor/ESD9B5-0ST5G/ESD9B5-0ST5GOSCT-ND/1646497"
F1 ,1,"5 mA ","IsolationBarrier:LVR005NS","https://www.digikey.de/product-detail/de/littelfuse-inc/LVR005NS/LVR005NS-ND/1853845"
J1 ,1,"Conn_01x02_Male","Netzfrequenz:IEC_C8_PCB_Connector","https://www.digikey.de/product-detail/de/schurter-inc/4300-0103/486-4132-ND/8299834"
J2 ,1,"6P6C","Netzfrequenz:6P6C","https://www.digikey.de/product-detail/de/pulse-electronics-network/E5566-Q0LK22-L/553-2258-ND/1785239"
PS1 ,1,"IRM-03-5","Converter_ACDC:Converter_ACDC_MeanWell_IRM-03-xx_THT","https://www.meanwell.com/Upload/PDF/IRM-03/IRM-03-SPEC.PDF"
R4 R3 R2 R1 ,4,"82k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/te-connectivity-passive-product/CRGP1206F82K/A130561CT-ND/8578393"
R5 ,1,"200","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RNCF1206TKY200R/RNCF1206TKY200RCT-ND/4928405"
U1 ,1,"R05P05S_R8","Frequenzmessung PCB:RECOM-R05P05S","schon existent"
U2 ,1,"AMC1301","Package_SO:SOIC-8_7.5x5.85mm_P1.27mm","schon existent"
