Reference, Quantity, Value, Footprint, Datasheet
AE1 ,1,"SMB Antenna","Frequenzmessung PCB:Molex_SMB_0731000103","https://www.digikey.de/product-detail/de/molex/0731000103/WM5523-ND/1465145"
C1 C7 C8 C18 C17 C30 C25 C36 C40 ,9,"100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL31B104KBCNFNC/1276-2744-1-ND/3890830"
C11 C19 C15 C2 C37 ,5,"10nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL31B103KBCNNNC/1276-1035-1-ND/3889121"
C13 ,1,"11nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/murata-electronics/GRM3195C1H113JA01D/490-1755-1-ND/587572"
C16 ,1,"20.5nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/murata-electronics/GRM3195C1H203JA01D/490-1760-1-ND/587546"
C22 ,1,"154nF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/yageo/CC1206JKX7R9BB154/311-4385-1-ND/8025474"
C3 C14 ,2,"2200uF","Capacitor_SMD:CP_Elec_10x10.5","https://www.digikey.de/product-detail/de/panasonic-electronic-components/EEE-FT1A152AP/P15083CT-ND/2796924"
C4 C12 ,2,"100uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/taiyo-yuden/JMK316ABJ107ML-T/587-3395-1-ND/4157508"
C5 C10 C29 C23 C27 C24 C34 C38 C32 C31 ,10,"10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL21A106KOQNNWE/1276-2894-1-ND/3890980"
C6 C9 C21 C20 C26 C28 C35 C39 C33 ,9,"1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.digikey.de/product-detail/de/samsung-electro-mechanics/CL31B105KAHNNNE/1276-1097-1-ND/3889183"
D2 D1 ,2,"5V","Diode_SMD:D_SOD-323_HandSoldering","https://www.digikey.de/product-detail/de/diodes-incorporated/MMSZ5232BS-7-F/MMSZ5232BS-FDICT-ND/815868"
